Citizenships,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Philippines,22,24,28,27,20,22,18,17,13,16,22,22,19,18,23,10
India,698,472,297,203,164,123,94,71,45,56,138,119,86,69,58,50
Iran,14,15,14,14,10,10,6,7,6,9,15,16,21,36,49,65
China,256,239,178,126,96,49,25,18,22,28,35,40,42,41,41,31
Nepal,0,4,6,5,3,4,0,3,0,4,4,4,9,10,15,14
Pakistan,107,89,58,38,26,12,8,7,6,8,11,12,13,15,20,20
United Kingdom,5,3,0,0,0,0,0,0,0,0,0,0,0,3,5,7
Syria,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
Thailand,5,5,6,5,6,4,4,3,3,0,4,4,7,5,5,6
Turkey,28,25,24,15,12,8,6,8,7,7,11,14,17,16,24,27
Ukraine,46,44,41,45,39,32,22,23,23,22,19,19,22,19,20,18
USA,131,95,65,41,35,24,18,23,25,28,49,59,48,52,37,37
