Branche,2020,2021,2022,2023
"Landbrug, skovbrug og fiskeri",.,3,5,7
Råstofindvinding,.,.,.,.
Industri,.,4,24,30
Energiforsyning,.,.,.,.
Vandforsyning og renovation,.,.,.,.
Bygge og anlæg,.,13,29,36
Handel,.,3,12,24
Transport,.,.,.,4
Hoteller og restauranter,6,20,104,175
Information og kommunikation,.,.,4,4
Finansiering og forsikring,.,.,.,.
Ejendomshandel og udlejning,.,.,.,.
Videnservice,.,.,3,.
"Rejsebureau, rengøring o.a. operationel service",.,4,11,18
"Offentlig administration, undervisn. og sundhed",.,4,8,12
Kultur og fritid,.,.,5,4
Andre serviceydelser mv.,.,.,.,.
Uoplyst aktivitet,.,.,.,.
